域名	解析IP	开放端口	WEB服务器	网站状态
fuss.ele.me	39.107.218.108,39.107.218.109,47.95.181.194	80,443	-	80:(405) 不允许的方法
goci.ele.me	106.15.161.242,139.196.71.122,106.14.48.4,106.14.48.166,106.14.48.12,106.14.48.41,106.14.48.55,139.196.70.162,106.14.48.177,139.196.71.98	80,443	nginx/1.10.3	80:(403) 已禁止
jike.ele.me	103.251.85.31,124.251.14.9	80,443	Tengine/2.1.2	80:正常访问
mdcs.ele.me	103.251.85.49	80,443	-	80:(500) 内部服务器错误
perf.ele.me	39.107.218.108,39.107.218.109,47.95.181.194	80,443	-	80:(301) 已移动的永久重定向
woos.ele.me	39.107.218.109,47.95.181.194,39.107.218.108	80,443		80:正常访问
zoom.ele.me	103.251.85.49	80,443		80:正常访问
v5.ele.me	47.95.181.194,39.107.218.108,39.107.218.109	80,443	获取失败	80:-
h5.ele.me	47.95.42.5,39.96.97.147,39.97.7.151,39.107.218.103	80,443	获取失败	80:-
h.ele.me	39.107.218.109,47.95.181.194,39.107.218.108	80,443	获取失败	80:-
